"Path","Rel","SHA256","Size"
"C:\IT-TECH\ASI-Omega\asi-omega-audit-pipeline\sample\data_sample.txt","sample/data_sample.txt","2D2E8CC699836CCD0BE55BAC7D6EBA00E3AD9905270C91B679BE9EB77195E866","40"
"C:\IT-TECH\ASI-Omega\asi-omega-audit-pipeline\sample\readme_sample.txt","sample/readme_sample.txt","2B0C9215E1D20A53DB77D88CD94068B045A576DD4631972B007D9ACB4AB18001","28"
